Country Name,Country Code,Indicator Name,Indicator Code,2018
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,30280
Lesotho,LSO,Land area (sq. km),AG.LND.TOTL.K2,30360
Moldova,MDA,Land area (sq. km),AG.LND.TOTL.K2,32890
Netherlands,NLD,Land area (sq. km),AG.LND.TOTL.K2,33690
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,38143.99902
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,39516.00098
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,41990
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,43470
Slovak Republic,SVK,Land area (sq. km),AG.LND.TOTL.K2,48080
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,48310
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,51200
Togo,TGO,Land area (sq. km),AG.LND.TOTL.K2,54390
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,55960
Latvia,LVA,Land area (sq. km),AG.LND.TOTL.K2,62180
Lithuania,LTU,Land area (sq. km),AG.LND.TOTL.K2,62642.00195
Sri Lanka,LKA,Land area (sq. km),AG.LND.TOTL.K2,62710
Pacific island small states,PSS,Land area (sq. km),AG.LND.TOTL.K2,64200
Ireland,IRL,Land area (sq. km),AG.LND.TOTL.K2,68890
Georgia,GEO,Land area (sq. km),AG.LND.TOTL.K2,69490
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,71020
Sierra Leone,SLE,Land area (sq. km),AG.LND.TOTL.K2,72180
Panama,PAN,Land area (sq. km),AG.LND.TOTL.K2,74340
Czech Republic,CZE,Land area (sq. km),AG.LND.TOTL.K2,77220
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82522.99805
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82670
Serbia,SRB,Land area (sq. km),AG.LND.TOTL.K2,87460
Jordan,JOR,Land area (sq. km),AG.LND.TOTL.K2,88780
Hungary,HUN,Land area (sq. km),AG.LND.TOTL.K2,90530
Portugal,PRT,Land area (sq. km),AG.LND.TOTL.K2,91605.5957
Malawi,MWI,Land area (sq. km),AG.LND.TOTL.K2,94280
Liberia,LBR,Land area (sq. km),AG.LND.TOTL.K2,96320
"Korea, Rep.",KOR,Land area (sq. km),AG.LND.TOTL.K2,97489.00391
Iceland,ISL,Land area (sq. km),AG.LND.TOTL.K2,100250
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,101000
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,104020
Guatemala,GTM,Land area (sq. km),AG.LND.TOTL.K2,107160
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,108560
Honduras,HND,Land area (sq. km),AG.LND.TOTL.K2,111890
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760
Nicaragua,NIC,Land area (sq. km),AG.LND.TOTL.K2,120340
"Korea, Dem. People’s Rep.",PRK,Land area (sq. km),AG.LND.TOTL.K2,120410
Greece,GRC,Land area (sq. km),AG.LND.TOTL.K2,128900
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170
Tajikistan,TJK,Land area (sq. km),AG.LND.TOTL.K2,138790
Nepal,NPL,Land area (sq. km),AG.LND.TOTL.K2,143350
Tunisia,TUN,Land area (sq. km),AG.LND.TOTL.K2,155360
Suriname,SUR,Land area (sq. km),AG.LND.TOTL.K2,156000
Uruguay,URY,Land area (sq. km),AG.LND.TOTL.K2,175020
Cambodia,KHM,Land area (sq. km),AG.LND.TOTL.K2,176520
Syrian Arab Republic,SYR,Land area (sq. km),AG.LND.TOTL.K2,183630
Kyrgyz Republic,KGZ,Land area (sq. km),AG.LND.TOTL.K2,191800
Senegal,SEN,Land area (sq. km),AG.LND.TOTL.K2,192530
Guyana,GUY,Land area (sq. km),AG.LND.TOTL.K2,196850
Uganda,UGA,Land area (sq. km),AG.LND.TOTL.K2,200520
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202988.0078
Ghana,GHA,Land area (sq. km),AG.LND.TOTL.K2,227540
Romania,ROU,Land area (sq. km),AG.LND.TOTL.K2,230080
Lao PDR,LAO,Land area (sq. km),AG.LND.TOTL.K2,230800
United Kingdom,GBR,Land area (sq. km),AG.LND.TOTL.K2,241930
Guinea,GIN,Land area (sq. km),AG.LND.TOTL.K2,245720
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,248360
Gabon,GAB,Land area (sq. km),AG.LND.TOTL.K2,257670
New Zealand,NZL,Land area (sq. km),AG.LND.TOTL.K2,263310
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600
Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,294140
Philippines,PHL,Land area (sq. km),AG.LND.TOTL.K2,298170
Finland,FIN,Land area (sq. km),AG.LND.TOTL.K2,303910
Poland,POL,Land area (sq. km),AG.LND.TOTL.K2,306190
Oman,OMN,Land area (sq. km),AG.LND.TOTL.K2,309500
Vietnam,VNM,Land area (sq. km),AG.LND.TOTL.K2,310070
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,318000
Malaysia,MYS,Land area (sq. km),AG.LND.TOTL.K2,328550
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,341500
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,349360
Japan,JPN,Land area (sq. km),AG.LND.TOTL.K2,364560
Norway,NOR,Land area (sq. km),AG.LND.TOTL.K2,365123.0078
Zimbabwe,ZWE,Land area (sq. km),AG.LND.TOTL.K2,386850
Paraguay,PRY,Land area (sq. km),AG.LND.TOTL.K2,397300
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,404850
Sweden,SWE,Land area (sq. km),AG.LND.TOTL.K2,407310
Greenland,GRL,Land area (sq. km),AG.LND.TOTL.K2,410450
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,425400
Iraq,IRQ,Land area (sq. km),AG.LND.TOTL.K2,434128.0078
Morocco,MAR,Land area (sq. km),AG.LND.TOTL.K2,446300
Papua New Guinea,PNG,Land area (sq. km),AG.LND.TOTL.K2,452860
Turkmenistan,TKM,Land area (sq. km),AG.LND.TOTL.K2,469930
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,472710
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,499563.9844
Thailand,THA,Land area (sq. km),AG.LND.TOTL.K2,510890
"Yemen, Rep.",YEM,Land area (sq. km),AG.LND.TOTL.K2,527970
France,FRA,Land area (sq. km),AG.LND.TOTL.K2,547556.9922
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730
Kenya,KEN,Land area (sq. km),AG.LND.TOTL.K2,569140
Ukraine,UKR,Land area (sq. km),AG.LND.TOTL.K2,579290
Madagascar,MDG,Land area (sq. km),AG.LND.TOTL.K2,581800
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,622980
Somalia,SOM,Land area (sq. km),AG.LND.TOTL.K2,627340
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652860
Myanmar,MMR,Land area (sq. km),AG.LND.TOTL.K2,653080
Zambia,ZMB,Land area (sq. km),AG.LND.TOTL.K2,743390
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532.0313
Turkey,TUR,Land area (sq. km),AG.LND.TOTL.K2,769630
Pakistan,PAK,Land area (sq. km),AG.LND.TOTL.K2,770880
Mozambique,MOZ,Land area (sq. km),AG.LND.TOTL.K2,786380
Namibia,NAM,Land area (sq. km),AG.LND.TOTL.K2,823290
"Venezuela, RB",VEN,Land area (sq. km),AG.LND.TOTL.K2,882050
Tanzania,TZA,Land area (sq. km),AG.LND.TOTL.K2,885800
Nigeria,NGA,Land area (sq. km),AG.LND.TOTL.K2,910770
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,995450
Ethiopia,ETH,Land area (sq. km),AG.LND.TOTL.K2,1000000
Mauritania,MRT,Land area (sq. km),AG.LND.TOTL.K2,1030700
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,1105054.001
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500
South Africa,ZAF,Land area (sq. km),AG.LND.TOTL.K2,1213090
Mali,MLI,Land area (sq. km),AG.LND.TOTL.K2,1220190
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700
Chad,TCD,Land area (sq. km),AG.LND.TOTL.K2,1259200
Niger,NER,Land area (sq. km),AG.LND.TOTL.K2,1266700
Peru,PER,Land area (sq. km),AG.LND.TOTL.K2,1280000
Mongolia,MNG,Land area (sq. km),AG.LND.TOTL.K2,1553560
"Iran, Islamic Rep.",IRN,Land area (sq. km),AG.LND.TOTL.K2,1628760
Libya,LBY,Land area (sq. km),AG.LND.TOTL.K2,1759540
Indonesia,IDN,Land area (sq. km),AG.LND.TOTL.K2,1811570
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,1943950
Other small states,OSS,Land area (sq. km),AG.LND.TOTL.K2,2031822.999
Saudi Arabia,SAU,Land area (sq. km),AG.LND.TOTL.K2,2149690
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,2267050
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381740
Small states,SST,Land area (sq. km),AG.LND.TOTL.K2,2500872.999
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,2678923.572
Kazakhstan,KAZ,Land area (sq. km),AG.LND.TOTL.K2,2699700
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690
India,IND,Land area (sq. km),AG.LND.TOTL.K2,2973190
European Union,EUU,Land area (sq. km),AG.LND.TOTL.K2,4238693.572
South Asia,SAS,Land area (sq. km),AG.LND.TOTL.K2,4771603.999
South Asia (IDA & IBRD),TSA,Land area (sq. km),AG.LND.TOTL.K2,4771603.999
IDA blend,IDB,Land area (sq. km),AG.LND.TOTL.K2,5955820
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7692020
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140
Middle East & North Africa (IDA & IBRD countries),TMN,Land area (sq. km),AG.LND.TOTL.K2,8635068.008
Middle East & North Africa (excluding high income),MNA,Land area (sq. km),AG.LND.TOTL.K2,8641088.008
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,9093510
United States,USA,Land area (sq. km),AG.LND.TOTL.K2,9147420
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9388210
Middle East & North Africa,MEA,Land area (sq. km),AG.LND.TOTL.K2,11223466.01
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,11232647.01
Fragile and conflict affected situations,FCS,Land area (sq. km),AG.LND.TOTL.K2,12922619.01
Low income,LIC,Land area (sq. km),AG.LND.TOTL.K2,13651370
East Asia & Pacific (IDA & IBRD countries),TEA,Land area (sq. km),AG.LND.TOTL.K2,15793350
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,15913500
Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,16376870
Heavily indebted poor countries (HIPC),HPC,Land area (sq. km),AG.LND.TOTL.K2,17378791
Least developed countries: UN classification,LDC,Land area (sq. km),AG.LND.TOTL.K2,17762825
Pre-demographic dividend,PRE,Land area (sq. km),AG.LND.TOTL.K2,17789339.01
IDA only,IDX,Land area (sq. km),AG.LND.TOTL.K2,17994825
North America,NAC,Land area (sq. km),AG.LND.TOTL.K2,18240984
Latin America & Caribbean (excluding high income),LAC,Land area (sq. km),AG.LND.TOTL.K2,19018930
Latin America & the Caribbean (IDA & IBRD countries),TLA,Land area (sq. km),AG.LND.TOTL.K2,19913632.03
Latin America & Caribbean,LCN,Land area (sq. km),AG.LND.TOTL.K2,20038832.03
Lower middle income,LMC,Land area (sq. km),AG.LND.TOTL.K2,20141755
Sub-Saharan Africa (excluding high income),SSA,Land area (sq. km),AG.LND.TOTL.K2,21241901
Sub-Saharan Africa,SSF,Land area (sq. km),AG.LND.TOTL.K2,21242361
Sub-Saharan Africa (IDA & IBRD countries),TSS,Land area (sq. km),AG.LND.TOTL.K2,21242361
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,22611288.01
Europe & Central Asia (IDA & IBRD countries),TEC,Land area (sq. km),AG.LND.TOTL.K2,22973438.01
IDA total,IDA,Land area (sq. km),AG.LND.TOTL.K2,23950645
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,24396748.4
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,27429224.59
Post-demographic dividend,PST,Land area (sq. km),AG.LND.TOTL.K2,31473668.99
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,33107752
OECD members,OED,Land area (sq. km),AG.LND.TOTL.K2,34476483.62
High income,HIC,Land area (sq. km),AG.LND.TOTL.K2,35144909.02
Late-demographic dividend,LTE,Land area (sq. km),AG.LND.TOTL.K2,44519022.03
Upper middle income,UMC,Land area (sq. km),AG.LND.TOTL.K2,58405186.02
IBRD only,IBD,Land area (sq. km),AG.LND.TOTL.K2,69378808.05
Middle income,MIC,Land area (sq. km),AG.LND.TOTL.K2,78546941.01
Low & middle income,LMY,Land area (sq. km),AG.LND.TOTL.K2,92198311.01
IDA & IBRD total,IBT,Land area (sq. km),AG.LND.TOTL.K2,93329453.05
World,WLD,Land area (sq. km),AG.LND.TOTL.K2,127343220
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,
Not classified,INX,Land area (sq. km),AG.LND.TOTL.K2,
St. Martin (French part),MAF,Land area (sq. km),AG.LND.TOTL.K2,
Monaco,MCO,Land area (sq. km),AG.LND.TOTL.K2,
Sudan,SDN,Land area (sq. km),AG.LND.TOTL.K2,
South Sudan,SSD,Land area (sq. km),AG.LND.TOTL.K2,
Sint Maarten (Dutch part),SXM,Land area (sq. km),AG.LND.TOTL.K2,
Kosovo,XKX,Land area (sq. km),AG.LND.TOTL.K2,
